dateObserved;temperature;relativeHumidity
2024-09-24T16:40Z;16.417562;66.035934
2024-09-24T16:50Z;16.195927;65.66018
2024-09-24T17:30Z;15.648508;67.80026
2024-09-24T17:40Z;15.421531;68.691
2024-09-24T17:50Z;15.071717;69.86977
2024-09-24T18:20Z;14.564355;70.773865
2024-09-24T18:30Z;14.567025;71.1458
2024-09-24T18:50Z;14.281301;72.75563
2024-09-24T19:00Z;14.278629;72.92729
2024-09-24T19:10Z;14.297322;73.0341
2024-09-24T19:30Z;13.992905;74.54856
2024-09-24T19:40Z;13.848707;75.33059
2024-09-24T19:50Z;13.651102;76.246124
2024-09-24T20:00Z;13.490883;76.96712
2024-09-24T20:10Z;13.429465;77.25132
2024-09-24T20:20Z;13.362707;77.73579
2024-09-24T20:30Z;13.277256;78.18402
2024-09-24T20:50Z;13.111696;78.66468
2024-09-24T21:10Z;12.481499;82.452736
2024-09-24T21:40Z;12.294576;82.47944
2024-09-24T21:50Z;12.024872;85.80591
2024-09-24T22:10Z;12.0969715;84.19989
2024-09-24T22:20Z;11.971466;84.85794
2024-09-24T22:30Z;11.915389;85.035324
2024-09-24T22:50Z;11.755169;85.47784
2024-09-24T23:01Z;11.787213;85.399635
2024-09-24T23:20Z;12.000839;84.74349
2024-09-24T23:30Z;12.131685;84.14076
2024-09-24T23:50Z;11.9848175;85.61898
2024-09-25T00:00Z;11.9234;86.68902
2024-09-25T00:10Z;11.899366;85.19554
2024-09-25T00:30Z;11.942092;85.80209
2024-09-25T00:40Z;11.781873;86.67567
2024-09-25T01:40Z;11.389334;88.90921
2024-09-25T01:50Z;11.301213;89.38033
2024-09-25T02:00Z;11.480125;89.63973
2024-09-25T02:30Z;11.365301;89.41276
2024-09-25T02:40Z;11.397345;89.40513
2024-09-25T02:50Z;11.394674;89.45472
2024-09-25T03:00Z;11.322576;89.70649
2024-09-25T03:30Z;11.210422;89.74464
2024-09-25T03:50Z;10.95407;90.80705
2024-09-25T04:00Z;10.825894;91.25529
2024-09-25T04:10Z;10.740444;91.41741
2024-09-25T04:20Z;10.681697;91.615776
